date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:09:51	2411/2411	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:09:51%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F2017%2F02%2F27%2Fhello-world%2F&format=xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embedbbad	(from http://event-theme.com/themes/gocourierwp/2017/02/27/hello-world/)
00:09:52	48234/48234	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:09:27%20GMT	http://event-theme.com/themes/gocourierwp/2016/05/14/hello-world-2/?replytocom=2	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2016/05/14/hello-world-2/index0e22.html	(from http://event-theme.com/themes/gocourierwp/2016/05/14/hello-world-2/)
00:09:57	2634/2634	---MC-	200	added ('OK')	application/json	date:Mon,%2012%20Nov%202018%2011:09:57%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F2016%2F05%2F19%2Flike-aldus-pagemaker-including-versions-of%2F	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed0e6f.json	(from http://event-theme.com/themes/gocourierwp/2016/05/19/like-aldus-pagemaker-including-versions-of/)
00:09:58	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Nov%202018%2011:09:58%20GMT	http://event-theme.com/themes/gocourierwp/?p=248	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/indexcf9a.html	(from http://event-theme.com/themes/gocourierwp/2016/05/19/like-aldus-pagemaker-including-versions-of/)
00:09:59	899/899	---MC-	200	added ('OK')	application/rss+xml	etag:%222ad86fd320ed9808c3edae24bff61db8%22	http://event-theme.com/themes/gocourierwp/2016/05/19/like-aldus-pagemaker-including-versions-of/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2016/05/19/like-aldus-pagemaker-including-versions-of/feed/index.html	(from http://event-theme.com/themes/gocourierwp/2016/05/19/like-aldus-pagemaker-including-versions-of/)
00:10:00	2753/2753	---MCZ	200	added ('OK')	text/xml	date:Mon,%2012%20Nov%202018%2011:09:59%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F2016%2F05%2F19%2Flike-aldus-pagemaker-including-versions-of%2F&format=xml	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embedc1a0	(from http://event-theme.com/themes/gocourierwp/2016/05/19/like-aldus-pagemaker-including-versions-of/)
00:10:04	1572/1572	---MC-	200	added ('OK')	application/rss+xml	etag:%222ad86fd320ed9808c3edae24bff61db8%22	http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/feed/	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/feed/index.html	(from http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/)
00:10:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Nov%202018%2011:10:04%20GMT	http://event-theme.com/themes/gocourierwp/?p=203	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/indexc39e.html	(from http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/)
00:10:04	2586/2586	---MC-	200	added ('OK')	application/json	date:Mon,%2012%20Nov%202018%2011:10:04%20GMT	http://event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fevent-theme.com%2Fthemes%2Fgocourierwp%2F2016%2F05%2F10%2Fhello-world-2-2%2F	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/wp-json/oembed/1.0/embed1137.json	(from http://event-theme.com/themes/gocourierwp/2016/05/10/hello-world-2-2/)
00:10:07	45449/45449	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Nov%202018%2011:09:54%20GMT	http://event-theme.com/themes/gocourierwp/2017/02/27/hello-world/?replytocom=1	C:/My%20Web%20Sites/shipping%20platform/event-theme.com/themes/gocourierwp/2017/02/27/hello-world/index6809.html	(from http://event-theme.com/themes/gocourierwp/2017/02/27/hello-world/)
